Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,buy_prem,sell_prem
58560,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58620,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58680,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58740,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58800,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58860,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58920,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
58980,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59040,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59100,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59160,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59220,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59280,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59340,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59400,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59460,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59520,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59580,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59640,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59700,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59760,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59820,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59880,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
59940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60300,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60360,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60420,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60480,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60540,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60600,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60660,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60720,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60780,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60840,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60900,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
60960,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61020,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61080,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61140,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61200,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
