Time,x,y,resources,capacity,ports_filled,buy_prem,sell_prem
35940,-33181.833891368165,-11133.997481440076,137.49999999999432,300.0,0,1,1
36000,-33116.866622383015,-11325.773502342206,137.47916666666097,300.0,0,1,1
36060,-33050.79098490705,-11517.170467742902,137.45833333332763,300.0,0,1,1
36120,-32983.60919038608,-11708.181971892207,137.4374999999943,300.0,0,1,1
36180,-32915.32348728714,-11898.801621941026,137.41666666666094,300.0,0,1,1
36240,-32845.93616102337,-12089.02303815489,137.3958333333276,300.0,0,1,1
36300,-32775.44953387747,-12278.839854127657,137.37499999999426,300.0,0,1,1
36360,-32703.865964923953,-12468.245716994483,137.35416666666092,300.0,0,1,1
36420,-32631.187849950245,-12657.234287644435,137.33333333332757,300.0,0,1,1
36480,-32557.41762137645,-12845.799240932743,137.31249999999423,300.0,0,1,1
36540,-32482.55774817401,-13033.934265892349,137.2916666666609,300.0,0,1,1
36600,-32406.610735782964,-13221.633065945301,137.27083333332754,300.0,0,1,1
36660,-32329.579126028217,-13408.889359113342,137.2499999999942,300.0,0,1,1
36720,-32251.465497034358,-13595.696878228231,137.22916666666086,300.0,0,1,1
36780,-32172.272463139474,-13782.049371141424,137.20833333332752,300.0,0,1,1
36840,-32092.00267480758,-13967.940600933478,137.18749999999417,300.0,0,1,1
36900,-32010.65881853993,-14153.36434612258,137.16666666666083,300.0,0,1,1
36960,-31928.243616785152,-14338.314400872941,137.1458333333275,300.0,0,1,1
37020,-31844.759827848047,-14522.78457520244,137.12499999999415,300.0,0,1,1
37080,-31760.21024579733,-14706.76869518972,137.1041666666608,300.0,0,1,1
37140,-31674.597700372124,-14890.260603180966,137.08333333332746,300.0,0,1,1
37200,-31587.92505688723,-15073.254157995822,137.06249999999412,300.0,0,1,1
37260,-31500.195216137196,-15255.743235133104,137.04166666666077,300.0,0,1,1
37320,-31411.41111429931,-15437.721726975653,137.02083333332743,300.0,0,1,1
37380,-31321.575722835274,-15619.18354299475,136.9999999999941,300.0,0,1,1
37440,-31230.69204839179,-15800.122609954014,136.97916666666075,300.0,0,1,1
37500,-31138.76313269987,-15980.532872112677,136.9583333333274,300.0,0,1,1
37560,-31045.792052473113,-16160.408291428143,136.93749999999406,300.0,0,1,1
37620,-30951.78191930469,-16339.742847758216,136.91666666666072,300.0,0,1,1
37680,-30856.735879563203,-16518.530539062467,136.89583333332737,300.0,0,1,1
37740,-30760.657114287384,-16696.7653816032,136.87499999999403,300.0,0,1,1
37800,-30663.548839079653,-16874.44141014568,136.8541666666607,300.0,0,1,1
37860,-30565.414303998466,-17051.552678157732,136.83333333332735,300.0,0,1,1
37920,-30466.256793449542,-17228.093258008907,136.812499999994,300.0,0,1,1
