Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,Buy_price,Sell_price
716280,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716340,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716400,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716460,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716520,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716580,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716640,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716700,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716760,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716820,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716880,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
716940,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717000,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717060,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717120,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717180,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717240,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717300,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717360,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717420,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717480,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717540,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717600,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717660,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717720,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717780,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717840,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717900,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
717960,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718020,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718080,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718140,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718200,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718260,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718320,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718380,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718440,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718500,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718560,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718620,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718680,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718740,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718800,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718860,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
718920,4,DSG,None,-23.5974313931074,1.2942237128549863,100,1.534194052800936,1.534194052800936
